P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
1.0;2.0;2.0;1.0;0;0;0;0;21952;512;351344;23071;22464.0;980000.0;80000.0;900000.0;15000.0;3000.0;12000.0;233000.0;33000.0;200000.0;0.0;0.0;0.0;3.068731182553481;0.23805633844225457;3.068262055231725;0.6273064331282681;0.0651351372773888;0.6266255458119939;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;13.99081;0.0;13.99081;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;20.30614;0.0;20.30614;11.0;5.832926832629292;0.0;0.0;-13090.429149999993;-15895.56253000001;-12374.683759999993;-15421.52279000001;0.3;0.7;0.0;0.0;0.0;0.0;0.9772079772079773;0.022792022792022793;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;2.0;4.0;2.0;0;0;0;0;21952;2743;351344;23071;24695.0;1380000.0;80000.0;1300000.0;27000.0;3000.0;24000.0;433000.0;33000.0;400000.0;0.0;0.0;0.0;4.097750009341106;0.3242926963934917;4.094810502931439;1.0407505499178016;0.09610115770476288;1.0374451511541645;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;96.37147;0.0;96.37147;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;108.36721999999999;0.0;108.36721999999999;6.0;5.832926832629292;0.0;0.0;-12991.171229999996;-16343.063360000015;-12004.304329999995;-15553.442950000015;0.3;0.7;0.0;0.0;0.0;0.0;0.888924883579672;0.111075116420328;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;2.0;6.0;3.0;0;0;0;0;21952;4973;351344;23071;26925.0;1780000.0;80000.0;1700000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;4.9564306657929755;0.41055853455358166;4.951923651734683;1.3857328856693336;0.12708943409189674;1.3802761017467695;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;161.10524;0.0;161.10524;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;195.05518999999998;0.0;195.05518999999998;4.0;5.832926832629292;0.0;0.0;-12982.012929999997;-16673.880320000022;-11932.367739999996;-15765.133490000022;0.3;0.7;0.0;0.0;0.0;0.0;0.8153017641597029;0.18469823584029713;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;3.0;3.0;1.0;0;0;0;0;21952;1627;351344;23071;23579.0;1430000.0;80000.0;1350000.0;21000.0;3000.0;18000.0;333000.0;33000.0;300000.0;0.0;0.0;0.0;4.2231163653383685;0.32004541644286416;4.221647644207463;0.843826000763678;0.0806150071961749;0.8417687848974247;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;45.97585;0.0;45.97585;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;64.39769;0.0;64.39769;7.0;5.832926832629292;0.0;0.0;-12994.602529999996;-16179.047020000009;-12064.003599999996;-15508.09659000001;0.3;1.0;0.0;0.0;0.0;0.0;0.9309979218796387;0.06900207812036134;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;3.0;6.0;2.0;0;0;0;0;21952;4973;351344;23071;26925.0;2030000.0;80000.0;1950000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;5.495405740835998;0.4494335932081972;5.490898726777705;1.3857328856693336;0.12708943409189674;1.3802761017467695;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;161.10524;0.0;161.10524;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;195.05518999999998;0.0;195.05518999999998;4.0;5.832926832629292;0.0;0.0;-12975.460379999997;-16686.185480000015;-11925.930109999996;-15761.798480000016;0.3;1.0;0.0;0.0;0.0;0.0;0.8153017641597029;0.18469823584029713;negative;negative;negative;negative;Environmental Dispatch Optimisation
1.0;3.0;9.0;3.0;0;0;0;0;21952;8318;351344;23071;30270.0;2630000.0;80000.0;2550000.0;57000.0;3000.0;54000.0;933000.0;33000.0;900000.0;0.0;0.0;0.0;6.486644808909978;0.5788732515752676;6.480452852681179;1.8079003178489215;0.17360272680645847;1.7998420152126937;2604.2908199999993;27477.57463000006;26480.98646000005;996.58817;248.83149;0.0;248.83149;902.1235599999998;14341.337440000078;13588.967390000078;752.37005;323.83295;0.0;323.83295;3.0;5.832926832629292;0.0;0.0;-12961.656839999996;-17172.838460000014;-11826.098549999995;-16126.938150000015;0.3;1.0;0.0;0.0;0.0;0.0;0.725206475057813;0.274793524942187;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;0.0;0.0;0.0;0;0;0;0;0;0;371604;0;0.0;410000.0;160000.0;250000.0;6000.0;6000.0;0.0;66000.0;66000.0;0.0;0.0;0.0;0.0;0.0;0.134776357178209;0.0;0.0;0.03954364101982334;0.0;0.0;28894.343360000043;28894.343360000043;0.0;0.0;0.0;0.0;0.0;14422.219920000085;14422.219920000085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28894.343360000043;-14422.219920000085;-28894.343360000043;-14422.219920000085;0.7;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;1.0;1.0;1.0;0;0;0;0;21350;0;351742;23062;21350.0;610000.0;160000.0;450000.0;12000.0;6000.0;6000.0;166000.0;66000.0;100000.0;0.0;0.0;0.0;2.1170148098140067;0.17461702348636576;2.1170148098140067;0.47786399862894524;0.05481129684314079;0.47786399862894524;2588.5181299999995;27481.520590000044;26485.41711000004;996.10348;0.0;0.0;0.0;879.2745099999997;14356.264590000073;13604.19338000007;752.0712100000001;0.0;0.0;0.0;21.0;5.672967742193667;0.0;0.0;-13634.938649999993;-15585.201650000014;-13294.634369999992;-15371.222510000014;0.7;0.3;0.0;0.0;0.0;0.0;1.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;1.0;2.0;2.0;0;0;0;0;21944;512;351189;23062;22456.0;810000.0;160000.0;650000.0;18000.0;6000.0;12000.0;266000.0;66000.0;200000.0;0.0;0.0;0.0;2.7309959826962795;0.21774959158039192;2.730526688246871;0.7128232066682103;0.07028512865065752;0.7121420767843137;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;13.99081;0.0;13.99081;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;20.30614;0.0;20.30614;11.0;5.830801130430811;0.0;0.0;-13129.287579999993;-15855.606870000001;-12440.830869999994;-15404.29821;0.7;0.3;0.0;0.0;0.0;0.0;0.9771998574991093;0.02280014250089063;negative;negative;negative;negative;Environmental Dispatch Optimisation
2.0;1.0;3.0;3.0;0;0;0;0;21944;1628;351189;23062;23572.0;1010000.0;160000.0;850000.0;24000.0;6000.0;18000.0;366000.0;66000.0;300000.0;0.0;0.0;0.0;3.285942023813264;0.2608823799529378;3.2844715966364286;0.9253317277767978;0.08577170550761663;0.9232726384533922;2603.536949999999;27467.54283000005;26471.439350000044;996.10348;46.01559;0.0;46.01559;901.8085399999998;14335.287410000072;13583.216200000075;752.0712100000001;64.4372;0.0;64.4372;7.0;5.830801130430811;0.0;0.0;-13049.51036;-16078.045410000008;-12216.63121;-15481.802930000009;0.7;0.3;0.0;0.0;0.0;0.0;0.9309350076361785;0.06906499236382148;negative;negative;negative;negative;Environmental Dispatch Optimisation
