P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
0.0;0.0;0.0;0.0;0;0;0;0;0;0;371911;0;0.0;750000.0;0.0;750000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1756156137119883;0.0;0.0;0.029232751145222786;0.0;0.0;28911.883870000034;28911.883870000034;0.0;0.0;0.0;0.0;0.0;14433.569730000087;14433.569730000087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28911.883870000034;-14433.569730000087;-28911.883870000034;-14433.569730000087;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Economic Dispatch Optimisation
0.0;0.0;0.0;0.0;0;0;0;0;0;0;371911;0;0.0;750000.0;0.0;750000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1756156137119883;0.0;0.0;0.029232751145222786;0.0;0.0;28911.883870000034;28911.883870000034;0.0;0.0;0.0;0.0;0.0;14433.569730000087;14433.569730000087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28911.883870000034;-14433.569730000087;-28911.883870000034;-14433.569730000087;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;1.0;2.0;2.0;0;0;0;0;21954;512;351491;23076;22466.0;650000.0;0.0;650000.0;12000.0;0.0;12000.0;200000.0;0.0;200000.0;0.0;0.0;0.0;2.11523182670827;0.18063193086990875;2.1147627411498298;0.5419906251861931;0.0599908935096096;0.5413097984848321;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;13.99081;0.0;13.99081;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;20.30614;0.0;20.30614;11.0;5.833458258178912;0.0;0.0;-13140.790599999997;-15868.926920000004;-12452.639759999996;-15417.859080000002;0.0;0.3;0.0;0.0;0.0;0.0;0.9772100062316389;0.022789993768361078;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;1.0;2.0;2.0;0;0;0;0;290840;13374;101342;344404;304214.0;650000.0;0.0;650000.0;12000.0;0.0;12000.0;200000.0;0.0;200000.0;0.0;0.0;0.0;0.18188823016135283;0.14853676286595582;0.1801843485878178;0.07015365146145285;0.06072283138537888;0.06903679431863478;26365.30604999998;15745.303889999996;4377.012600000003;11368.291289999997;688.15084;0.0;688.15084;11375.423480000001;16771.127200000003;3850.72425;12920.402949999998;451.06784;0.0;451.06784;152.0;77.27990342574267;0.0;0.0;10620.002159999985;-5395.703720000001;11308.152999999984;-4944.635880000002;0.0;0.3;0.0;0.0;0.0;0.0;0.9560375262150986;0.04396247378490142;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;1.0;3.0;3.0;0;0;0;0;21954;1627;351491;23076;23581.0;850000.0;0.0;850000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;2.699197566546228;0.2237287234770545;2.697679832082227;0.7625258870975091;0.07546457798160791;0.7604688457120553;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;47.514160000000004;0.0;47.514160000000004;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;64.39769000000001;0.0;64.39769000000001;7.0;5.833458258178912;0.0;0.0;-13060.883040000004;-16091.357890000008;-12228.297110000003;-15495.313120000008;0.0;0.3;0.0;0.0;0.0;0.0;0.9310037742250117;0.06899622577498833;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;1.0;3.0;3.0;0;0;0;0;292551;17574;99750;352349;310125.0;850000.0;0.0;850000.0;18000.0;0.0;18000.0;300000.0;0.0;300000.0;0.0;0.0;0.0;0.23066954490005895;0.18916398563105158;0.22864733026739964;0.08823972820540915;0.07558139701390335;0.08679203324422473;26557.449979999972;15665.396330000003;4198.2432;11467.153129999995;832.5859300000001;0.0;832.5859300000001;11448.63853;16993.558170000008;3782.5965299999993;13210.961639999996;596.04477;0.0;596.04477;103.0;77.73453798344259;0.0;0.0;10892.053649999969;-5544.919640000007;11724.63957999997;-4948.874870000007;0.0;0.3;0.0;0.0;0.0;0.0;0.9433325272067714;0.056667472793228535;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;2.0;4.0;2.0;0;0;0;0;21954;2743;351491;23076;24697.0;1300000.0;0.0;1300000.0;24000.0;0.0;24000.0;400000.0;0.0;400000.0;0.0;0.0;0.0;3.8178993930501113;0.30569338154183934;3.8149601246860687;0.963108252089716;0.09094454084469335;0.9598031210022149;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;96.37147;0.0;96.37147;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;108.36721999999999;0.0;108.36721999999999;6.0;5.833458258178912;0.0;0.0;-12997.2402;-16350.15864000001;-12010.37563;-15560.57256000001;0.0;0.7;0.0;0.0;0.0;0.0;0.8889338786087378;0.1110661213912621;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;2.0;4.0;2.0;0;0;0;0;293169;23141;99176;360613;316310.0;1300000.0;0.0;1300000.0;24000.0;0.0;24000.0;400000.0;0.0;400000.0;0.0;0.0;0.0;0.3229714408294076;0.26675769345470673;0.3206213773488445;0.10553799312337017;0.09040689595106349;0.1036577174829457;26599.99399999998;15601.75349;4158.735550000001;11443.017939999998;986.8645700000001;0.0;986.8645700000001;11473.902570000002;17252.35892000001;3759.1305899999998;13493.228329999998;789.58608;0.0;789.58608;79.0;77.89874847827518;0.0;0.0;10998.240509999981;-5778.456350000008;11985.105079999983;-4988.870270000007;0.0;0.7;0.0;0.0;0.0;0.0;0.9268407574847459;0.07315924251525402;positive;negative;positive;negative;Economic Dispatch Optimisation
0.0;2.0;6.0;3.0;0;0;0;0;21954;4973;351491;23076;26927.0;1700000.0;0.0;1700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;4.699692520739622;0.39192475846804015;4.69518584143931;1.314495027975133;0.12192043660515797;1.309038649354602;2604.513289999999;27485.617650000044;26488.68123000004;996.93642;161.10524;0.0;161.10524;902.2002799999998;14346.894670000078;13594.364000000074;752.5306700000001;195.05518999999998;0.0;195.05518999999998;4.0;5.833458258178912;0.0;0.0;-12988.081900000005;-16680.462240000015;-11938.436710000005;-15771.715410000017;0.0;0.7;0.0;0.0;0.0;0.0;0.8153154826011066;0.1846845173988933;negative;negative;negative;negative;Environmental Dispatch Optimisation
0.0;2.0;6.0;3.0;0;0;0;0;293169;26410;99176;370463;319579.0;1700000.0;0.0;1700000.0;36000.0;0.0;36000.0;600000.0;0.0;600000.0;0.0;0.0;0.0;0.4205850735545768;0.3487516348327084;0.4181110761198313;0.14156450990915811;0.12033311421148069;0.13942260772385567;26599.99399999998;15592.595190000004;4158.735550000001;11433.859639999999;1049.64519;0.0;1049.64519;11473.902570000002;17582.662520000016;3759.1305899999998;13823.531929999997;908.74683;0.0;908.74683;53.0;77.89874847827518;0.0;0.0;11007.398809999977;-6108.759950000014;12057.043999999976;-5200.013120000014;0.0;0.7;0.0;0.0;0.0;0.0;0.9173600267852393;0.08263997321476067;positive;negative;positive;negative;Economic Dispatch Optimisation
