P_PV;P_BESS;E_BESS;T_BESS;pv2load;pv2bess;pv2curtail;pv2grid;bess2load;bess2grid;grid2load;grid2bess;annual_energy;capex;capex_pv;capex_bess;opex;opex_pv;opex_bess;capex_co2;capex_co2_pv;capex_co2_bess;opex_co2;opex_co2_pv;opex_co2_bess;lcoe_investor;lcoe_enduser;lcoe_revenue;lco2_investor;lco2_enduser;lco2_abatement;savings;energy_procurement_costs;energy_procurement_costs_load;energy_procurement_costs_bess;profit;profit_pv;profit_bess;co2avoided;co2burden;co2burden_load;co2burden_bess;co2abatement;co2abatement_pv;co2abatement_bess;cycles;self_sufficiency;ress;self_consumption;net_savings;net_co2avoided;net_earnings;net_abatement;PV_Load_M;BESS_Load_M;pv2load_share;pv2bess_share;pv2grid_share;curtailment_share;bess2load_share;bess2grid_share;earnings_class;co2abatement_class;savings_class;co2avoided_class;label
1.0;2.0;2.0;1.0;0;0;0;0;291264;14041;100778;345644;305305.0;980000.0;80000.0;900000.0;15000.0;3000.0;12000.0;233000.0;33000.0;200000.0;0.0;0.0;0.0;0.25134370705915665;0.20307510105093327;0.24957783351089116;0.07629810762712334;0.06562701962449886;0.07512856570706619;26392.02805999997;15694.719969999991;4342.222990000003;11352.496979999993;715.7453900000002;0.0;715.7453900000002;11392.82674;16797.68609000001;3828.2956;12969.390490000005;474.03974;0.0;474.03974;152.0;77.39256564226211;0.0;0.0;10697.30808999998;-5404.85935000001;11413.05347999998;-4930.81961000001;0.3;0.7;0.0;0.0;0.0;0.0;0.9540099245017278;0.04599007549827222;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;2.0;4.0;2.0;0;0;0;0;293010;23142;99153;360435;316152.0;1380000.0;80000.0;1300000.0;27000.0;3000.0;24000.0;433000.0;33000.0;400000.0;0.0;0.0;0.0;0.3449563780157877;0.28447302536282354;0.3426051345171146;0.11163464798636127;0.0953195700387061;0.10975335086774057;26590.224809999967;15595.462049999995;4157.734720000002;11437.727329999994;986.8669000000001;0.0;986.8669000000001;11468.030769999998;17245.186920000015;3758.3000899999993;13486.886830000003;789.62041;0.0;789.62041;79.0;77.85650014708038;0.0;0.0;10994.762759999972;-5777.156150000017;11981.629659999973;-4987.5357400000175;0.3;0.7;0.0;0.0;0.0;0.0;0.9268010324147878;0.07319896758521217;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;2.0;6.0;3.0;0;0;0;0;293010;26410;99153;370285;319420.0;1780000.0;80000.0;1700000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.4423946828476473;0.36650508559609063;0.4399194539133334;0.147618263797778;0.12526063416738278;0.1454752954223577;26590.224809999967;15586.303749999995;4157.734720000002;11428.569029999995;1049.64519;0.0;1049.64519;11468.030769999998;17576.003880000022;3758.3000899999993;13817.70379;908.74683;0.0;908.74683;53.0;77.85650014708038;0.0;0.0;11003.921059999971;-6107.9731100000245;12053.56624999997;-5199.226280000024;0.3;0.7;0.0;0.0;0.0;0.0;0.9173188904890114;0.08268110951098867;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;3.0;3.0;1.0;0;0;0;0;293132;19795;99039;355527;312927.0;1430000.0;80000.0;1350000.0;21000.0;3000.0;18000.0;333000.0;33000.0;300000.0;0.0;0.0;0.0;0.343357824801192;0.28056811211681737;0.34111779152088517;0.09385124030613298;0.0804778990648372;0.09223620374829368;26592.73029999997;15598.893349999995;4155.3764900000015;11443.516859999992;930.5989300000002;0.0;930.5989300000002;11472.821569999996;17081.17058000001;3753.8187699999994;13327.35181;670.9504299999999;0.0;670.9504299999999;104.0;77.88891710560722;0.0;0.0;10993.836949999975;-5608.349010000013;11924.435879999975;-4937.398580000012;0.3;1.0;0.0;0.0;0.0;0.0;0.9367424351366294;0.0632575648633707;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;3.0;6.0;2.0;0;0;0;0;293101;26852;99068;370890;319953.0;2030000.0;80000.0;1950000.0;39000.0;3000.0;36000.0;633000.0;33000.0;600000.0;0.0;0.0;0.0;0.4870042300472547;0.40346447547377484;0.48453339506979837;0.1474095196054012;0.12524679943197223;0.1452333005885777;26592.74486999997;15579.751199999995;4155.362860000002;11424.388339999994;1049.5302700000002;0.0;1049.5302700000002;11471.754239999995;17588.309040000015;3754.8172399999994;13833.4918;924.387;0.0;924.387;53.0;77.8806800095881;0.0;0.0;11012.993669999974;-6116.55480000002;12062.523939999974;-5192.167800000019;0.3;1.0;0.0;0.0;0.0;0.0;0.9160751735411139;0.08392482645888615;positive;negative;positive;negative;Economic Dispatch Optimisation
1.0;3.0;9.0;3.0;0;0;0;0;293101;29976;99068;385788;323077.0;2630000.0;80000.0;2550000.0;57000.0;3000.0;54000.0;933000.0;33000.0;900000.0;0.0;0.0;0.0;0.6320320103059593;0.5266289273406651;0.6293844957950585;0.2010200990116755;0.17026448581412368;0.19858161895119297;26592.74486999997;15565.947659999994;4155.362860000002;11410.584799999997;1135.55829;0.0;1135.55829;11471.754239999995;18074.962020000014;3754.8172399999994;14320.144779999999;1045.90031;0.0;1045.90031;35.0;77.8806800095881;0.0;0.0;11026.797209999975;-6603.207780000019;12162.355499999976;-5557.307470000018;0.3;1.0;0.0;0.0;0.0;0.0;0.9072171649482941;0.09278283505170594;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;0.0;0.0;0.0;0;0;0;0;0;0;371604;0;0.0;410000.0;160000.0;250000.0;6000.0;6000.0;0.0;66000.0;66000.0;0.0;0.0;0.0;0.0;0.0;0.134776357178209;0.0;0.0;0.03954364101982334;0.0;0.0;28894.343360000043;28894.343360000043;0.0;0.0;0.0;0.0;0.0;14422.219920000085;14422.219920000085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28894.343360000043;-14422.219920000085;-28894.343360000043;-14422.219920000085;0.7;0.3;0.0;0.0;0.0;0.0;0.0;0.0;negative;negative;negative;negative;Economic Dispatch Optimisation
2.0;1.0;1.0;1.0;0;0;0;0;282892;6404;108395;328721;289296.0;610000.0;160000.0;450000.0;12000.0;6000.0;6000.0;166000.0;66000.0;100000.0;0.0;0.0;0.0;0.1832899145955334;0.1443398147602303;0.18240386110480727;0.0654294208921965;0.05579522597832979;0.06487228137006186;25849.95719999997;16223.456779999991;4836.582229999998;11386.874549999995;340.30427999999995;0.0;340.30427999999995;11064.13017999998;16464.476160000013;4127.728679999998;12336.747480000005;213.97914000000003;0.0;213.97914000000003;289.0;75.16801829155273;0.0;0.0;9626.50041999998;-5400.345980000033;9966.80469999998;-5186.366840000033;0.7;0.3;0.0;0.0;0.0;0.0;0.9778635031248272;0.022136496875172832;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;1.0;2.0;2.0;0;0;0;0;290523;13381;101291;344073;303904.0;810000.0;160000.0;650000.0;18000.0;6000.0;12000.0;266000.0;66000.0;200000.0;0.0;0.0;0.0;0.22748096339506618;0.18389050709715135;0.2257745856462692;0.08280233016827498;0.07053078073400376;0.08168373687972476;26345.97936999998;15732.824529999993;4374.6844500000025;11358.140079999994;688.4567099999999;0.0;688.4567099999999;11363.712169999995;16757.41541;3848.8362799999995;12908.579130000006;451.30866000000003;0.0;451.30866000000003;151.0;77.1956724761279;0.0;0.0;10613.154839999987;-5393.703240000006;11301.611549999985;-4942.394580000006;0.7;0.3;0.0;0.0;0.0;0.0;0.9559696483099926;0.04403035169000737;positive;negative;positive;negative;Economic Dispatch Optimisation
2.0;1.0;3.0;3.0;0;0;0;0;292233;17580;99700;352017;309813.0;1010000.0;160000.0;850000.0;24000.0;6000.0;18000.0;366000.0;66000.0;300000.0;0.0;0.0;0.0;0.27544299700564356;0.22454543907599817;0.27341803298285655;0.10066574192928132;0.0854003718451721;0.0992161083649673;26537.99620999997;15653.047309999998;4196.045429999999;11457.001879999996;832.8791500000001;0.0;832.8791500000001;11436.886119999996;16979.853950000008;3780.7514799999985;13199.102470000002;596.2424799999999;0.0;596.2424799999999;103.0;77.65004132105302;0.0;0.0;10884.94889999997;-5542.967830000012;11717.828049999971;-4946.7253500000115;0.7;0.3;0.0;0.0;0.0;0.0;0.9432560931916996;0.05674390680830049;positive;negative;positive;negative;Economic Dispatch Optimisation
